"plot";"variable";"value"
"hb01a";"cov";"75"
"hb01a";"t1cov";"0"
"hb01a";"t2cov";"0"
"hb01a";"scov";"0"
"hb01a";"hcov";"75"
"hb01a";"mcov";"3"
"hb01a";"htl1";"0"
"hb01a";"htl2";"0"
"hb01a";"hsl";"0"
"hb01a";"hhl1";"1,5"
"hb01a";"hhl2";"0,5"
"hb01a";"plsx";"4"
"hb01a";"plsy";"6"
"hb01a";"expo";"F"
"hb01a";"slope";"0"
"hb01a";"date";"26.05.10"
"hb01a";"soil";
"hb01a";"comment";
"hb02a";"cov";"95"
"hb02a";"t1cov";"0"
"hb02a";"t2cov";"0"
"hb02a";"scov";"65"
"hb02a";"hcov";"60"
"hb02a";"mcov";"5"
"hb02a";"htl1";"0"
"hb02a";"htl2";"0"
"hb02a";"hsl";"2,5"
"hb02a";"hhl1";"1,4"
"hb02a";"hhl2";"0,5"
"hb02a";"plsx";"5"
"hb02a";"plsy";"8"
"hb02a";"expo";"F"
"hb02a";"slope";"0"
"hb02a";"date";"26.05.10"
"hb02a";"soil";
"hb02a";"comment";
"hb02b";"cov";"90"
"hb02b";"t1cov";"0"
"hb02b";"t2cov";"0"
"hb02b";"scov";"55"
"hb02b";"hcov";"85"
"hb02b";"mcov";"5"
"hb02b";"htl1";"0"
"hb02b";"htl2";"0"
"hb02b";"hsl";"2,5"
"hb02b";"hhl1";"1,5"
"hb02b";"hhl2";"0,5"
"hb02b";"plsx";"8"
"hb02b";"plsy";"8"
"hb02b";"expo";"F"
"hb02b";"slope";"0"
"hb02b";"date";"26.05.10"
"hb02b";"soil";
"hb02b";"comment";
"hb03a";"cov";"95"
"hb03a";"t1cov";"0"
"hb03a";"t2cov";"0"
"hb03a";"scov";"0"
"hb03a";"hcov";"95"
"hb03a";"mcov";"10"
"hb03a";"htl1";"0"
"hb03a";"htl2";"0"
"hb03a";"hsl";"0"
"hb03a";"hhl1";"1,3"
"hb03a";"hhl2";"0,2"
"hb03a";"plsx";"4"
"hb03a";"plsy";"6"
"hb03a";"expo";"F"
"hb03a";"slope";"0"
"hb03a";"date";"26.05.10"
"hb03a";"soil";
"hb03a";"comment";
"hb03b";"cov";"97"
"hb03b";"t1cov";"0"
"hb03b";"t2cov";"0"
"hb03b";"scov";"0"
"hb03b";"hcov";"97"
"hb03b";"mcov";"5"
"hb03b";"htl1";"0"
"hb03b";"htl2";"0"
"hb03b";"hsl";"0"
"hb03b";"hhl1";"2"
"hb03b";"hhl2";"0,3"
"hb03b";"plsx";"4"
"hb03b";"plsy";"7"
"hb03b";"expo";"F"
"hb03b";"slope";"0"
"hb03b";"date";"26.05.10"
"hb03b";"soil";
"hb03b";"comment";
"hb04a";"cov";"20"
"hb04a";"t1cov";"0"
"hb04a";"t2cov";"0"
"hb04a";"scov";"10"
"hb04a";"hcov";"10"
"hb04a";"mcov";"0"
"hb04a";"htl1";"0"
"hb04a";"htl2";"0"
"hb04a";"hsl";"2"
"hb04a";"hhl1";"1,5"
"hb04a";"hhl2";"0,3"
"hb04a";"plsx";"8"
"hb04a";"plsy";"8"
"hb04a";"expo";"F"
"hb04a";"slope";"0"
"hb04a";"date";"26.05.10"
"hb04a";"soil";
"hb04a";"comment";
"hb04b";"cov";"25"
"hb04b";"t1cov";"0"
"hb04b";"t2cov";"0"
"hb04b";"scov";"0"
"hb04b";"hcov";"25"
"hb04b";"mcov";"1"
"hb04b";"htl1";"0"
"hb04b";"htl2";"0"
"hb04b";"hsl";"0"
"hb04b";"hhl1";"2,5"
"hb04b";"hhl2";"0,2"
"hb04b";"plsx";"5"
"hb04b";"plsy";"5"
"hb04b";"expo";"F"
"hb04b";"slope";"0"
"hb04b";"date";"26.05.10"
"hb04b";"soil";
"hb04b";"comment";
"hb04c";"cov";"85"
"hb04c";"t1cov";"0"
"hb04c";"t2cov";"0"
"hb04c";"scov";"0"
"hb04c";"hcov";"85"
"hb04c";"mcov";"3"
"hb04c";"htl1";"0"
"hb04c";"htl2";"0"
"hb04c";"hsl";"0"
"hb04c";"hhl1";"2"
"hb04c";"hhl2";"0,4"
"hb04c";"plsx";"5"
"hb04c";"plsy";"5"
"hb04c";"expo";"F"
"hb04c";"slope";"0"
"hb04c";"date";"26.05.10"
"hb04c";"soil";
"hb04c";"comment";
"hb05a";"cov";"100"
"hb05a";"t1cov";"0"
"hb05a";"t2cov";"0"
"hb05a";"scov";"0"
"hb05a";"hcov";"50"
"hb05a";"mcov";"90"
"hb05a";"htl1";"0"
"hb05a";"htl2";"0"
"hb05a";"hsl";"0"
"hb05a";"hhl1";"2"
"hb05a";"hhl2";"0,3"
